station_location,kppa,date,hour_temp_taken
"PERRY LEFORS FIELD AIRPORT, TX US",69,2023-04-25,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",51,2023-04-26,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",69,2023-04-27,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",56,2023-04-28,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",75,2023-04-29,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",73,2023-04-30,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",75,2023-05-01,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",77,2023-05-02,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",79,2023-05-03,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",78,2023-05-04,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",92,2023-05-05,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",89,2023-05-06,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",93,2023-05-07,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",85,2023-05-08,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",94,2023-05-09,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",85,2023-05-10,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",82,2023-05-11,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",84,2023-05-12,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",58,2023-05-13,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",66,2023-05-14,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",67,2023-05-15,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",78,2023-05-16,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",86,2023-05-17,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",73,2023-05-18,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",58,2023-05-19,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",73,2023-05-20,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",78,2023-05-21,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",74,2023-05-22,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",73,2023-05-23,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",79,2023-05-24,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",75,2023-05-25,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",73,2023-05-26,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",74,2023-05-27,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",76,2023-05-28,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",82,2023-05-29,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",85,2023-05-30,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",81,2023-05-31,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",72,2023-06-01,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",72,2023-06-02,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",75,2023-06-03,14:35:00
"PERRY LEFORS FIELD AIRPORT, TX US",63,2023-06-04,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",80,2023-06-05,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",81,2023-06-06,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",79,2023-06-07,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",83,2023-06-08,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",89,2023-06-09,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",82,2023-06-10,14:35:00
"PERRY LEFORS FIELD AIRPORT, TX US",81,2023-06-11,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",64,2023-06-12,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",75,2023-06-13,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",81,2023-06-14,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",88,2023-06-15,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",82,2023-06-16,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",85,2023-06-17,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",85,2023-06-18,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",97,2023-06-19,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",99,2023-06-20,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",89,2023-06-21,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",72,2023-06-22,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",84,2023-06-23,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",NA,2023-06-24,14:15:00
"PERRY LEFORS FIELD AIRPORT, TX US",88,2023-07-15,14:55:00
"PERRY LEFORS FIELD AIRPORT, TX US",91,2023-07-16,14:55:00
